.1.3.6.1.4.1.4458.1000.1.1.1.0 "PTMP SU"
.1.3.6.1.4.1.4458.1000.1.1.69.0 "Unknown"
.1.3.6.1.4.1.4458.1000.1.1.70.0 ""
.1.3.6.1.4.1.4458.1000.1.1.71.0 1
.1.3.6.1.4.1.4458.1000.1.1.77.0 1
.1.3.6.1.4.1.4458.1000.1.2.1.0 2
.1.3.6.1.4.1.4458.1000.1.2.3.0 0
.1.3.6.1.4.1.4458.1000.1.2.8.1.0 1
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.1 1
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.2 2
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.3 3
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.4 4
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.5 5
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.6 6
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.7 7
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.8 8
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.9 9
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.10 10
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.11 11
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.12 12
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.13 13
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.14 14
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.15 15
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.16 16
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.17 17
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.18 18
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.19 19
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.20 20
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.21 21
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.22 22
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.23 23
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.24 24
